"Country","RowID","Age","Gender","Kids","Education","WrkStatus","Income","Occupation","YearsInPos","MnthsInPos","CommSize","MaritalStat","Sons","Daughters","DP1","DP2","DP3","DP4","DP5","AIP1","AIP2","AIP3","AIP4","AIP5","AIP6","AIP7","AIP8","AIP9","AIP10","AIP11","AIP12","AIP13","AIP14","AIP15","GP1","GP2","GP3","GP4","GP5","GP6","GP7","GP8","GP9","GP10","GP11","GP12","GP13","GP14","GP15","GP16","GP17","GP18","GP19","GP20","SWLS1","SWLS2","SWLS3","SWLS4","SWLS5","SelfProcrast","OthrProcrast","DPMean","AIPMean","GPMean","SWLSMean","OccupatnAlt","EducationAlt","HDICategory","HDI"
"*Missing*",4144,45,"Female","Yes","deg","Full-Time",150000,"","1",0,"Large Town","Married",NA,0,3,2,2,1,1,1,2,5,3,2,1,1,2,2,2,5,2,3,2,3,3,2,2,4,5,2,3,2,4,3,3,4,5,4,3,4,3,3,2,1,4,4,4,4,2,"No","No",1.6,2.27,3.2,3.4,"*MISSING*","Degree","*Missing*",NA
"*Missing*",4146,55,"Male","Yes","phd","Full-Time",87500,"","0",0,"*Missing*","Married",NA,1,2,2,3,2,2,1,2,1,3,3,2,3,2,2,2,2,3,2,2,2,3,2,3,2,3,3,2,2,2,2,3,3,2,2,3,4,3,3,3,3,4,4,4,4,4,"Yes","No",2,2.13,2.6,3.8,"*MISSING*","PhD","*Missing*",NA
"*Missing*",4147,28,"Female","No","ma","Student",NA,"","3",9,"Small Town","Married",0,0,4,5,3,3,3,2,1,5,2,3,4,2,4,3,4,5,2,4,2,5,5,2,3,5,5,3,5,3,4,5,3,5,1,3,5,5,5,5,5,5,3,4,2,4,4,"Yes","Yes",3,3.07,4.1,3.6,"*MISSING*","Masters","*Missing*",NA
"*Missing*",4148,22,"Female","No","ltuni","Part-Time",NA,"","1",0,"Village","Single",0,0,2,2,1,1,1,1,1,3,3,2,5,2,1,1,1,1,1,1,3,2,3,4,2,1,1,5,2,5,2,1,4,1,1,1,1,1,1,2,1,4,4,5,5,5,5,"No","No",1.2,1.8,2.05,4.6,"*MISSING*","Left University","*Missing*",NA
"*Missing*",4149,45,"Female","Yes","ltuni","Part-Time",25000,"","4",0,"Rural/Country","Married",0,1,5,4,3,3,3,5,3,5,5,5,5,4,5,5,5,3,4,5,4,5,5,3,4,2,4,3,5,5,4,1,2,5,5,3,4,5,5,5,1,1,4,3,3,4,2,"Yes","Yes",3.2,4.4,3.8,3,"*MISSING*","Left University","*Missing*",NA
"*Missing*",4037,23,"Female","No","deg","Student",10000,"Law clerk","0",8,"Small City","Divorced",0,0,3,2,3,1,1,1,1,2,3,2,2,2,2,2,3,2,2,3,1,1,3,1,5,4,2,2,2,2,2,1,2,3,1,1,2,2,2,2,2,2,4,4,4,4,3,"No","No",1.8,1.93,2.1,3.6,"LEGAL CLERK","Degree","*Missing*",NA
"*Missing*",4038,55,"Male","No","ltuni","Retired",55000,"Farm Manager","8",2,"Large-City","Married",0,0,3,3,3,3,3,1,1,1,1,3,1,3,3,3,3,3,2,2,1,4,3,3,2,2,3,2,4,3,4,2,4,4,2,4,3,4,2,3,3,4,4,4,4,4,1,"Yes","Yes",2.4,2.07,3.05,4,"FARM MANAGER","Left University","*Missing*",NA
"*Missing*",4039,37.5,"Male","Yes","phd","Full-Time",250000,"engineer","4",0,"Large-City","Married",NA,0,4,4,4,3,3,5,4,5,2,2,4,2,5,2,1,4,4,4,3,5,5,4,4,4,2,4,4,3,4,5,5,4,5,5,5,5,1,5,3,5,3,3,3,3,3,"Yes","No",3,3.33,4.1,3.4,"ENGINEER","PhD","*Missing*",NA
"*Missing*",4048,55,"Female","Yes","ma","Part-Time",25000,"teacher","17",0,"Medium-Sized","Divorced",NA,1,3,2,2,1,1,1,1,1,3,2,1,1,1,1,2,2,2,1,1,1,3,3,1,2,3,1,3,2,3,1,4,3,2,2,3,3,3,2,2,1,4,5,4,4,3,"No","No",1.8,1.4,2.35,3.6,"TEACHER","Masters","*Missing*",NA
"*Missing*",4050,28,"Female","No","deg","Full-Time",35000,"0","0",0,"*Missing*","*Missing*",0,0,1,1,1,1,1,4,3,3,3,1,1,1,2,1,1,5,2,5,3,3,4,5,2,4,5,2,4,1,4,2,5,3,4,5,3,5,3,4,3,4,3,3,3,3,4,"Yes","No",0.8,2.4,3.55,3.2,"*MISSING*","Degree","*Missing*",NA
"*Missing*",4051,28,"Female","No","phd","Full-Time",150000,"0","0",0,"*Missing*","Married",0,0,2,3,3,1,1,1,2,3,5,2,1,4,4,1,2,5,4,4,4,3,3,3,2,4,4,4,4,3,4,4,4,4,3,5,3,4,4,3,3,3,4,4,3,4,3,"No","No",1.8,2.87,3.55,3.6,"*MISSING*","PhD","*Missing*",NA
"*Missing*",4052,25,"Male","No","phd","*Missing*",NA,"0","0",0,"Large-City","Single",0,0,2,3,1,1,1,1,1,2,2,2,4,3,4,3,3,4,2,1,2,2,2,1,1,2,2,2,2,2,4,2,3,3,2,2,3,3,2,2,3,2,4,4,4,3,1,"Yes","No",1.4,2.33,2.25,3.4,"*MISSING*","PhD","*Missing*",NA
"*Missing*",4053,45,"Male","Yes","phd","Full-Time",150000,"manager","0",9,"Large-City","Divorced",3,1,3,3,3,3,3,2,2,3,3,4,4,4,3,3,4,2,4,4,4,4,4,2,3,5,4,3,4,4,4,4,3,4,2,3,4,4,4,4,4,4,1,1,2,2,1,"Yes","Yes",2.6,3.27,3.65,2,"MANAGER","PhD","*Missing*",NA
"*Missing*",4055,37.5,"Female","Yes","phd","Full-Time",67500,"teacher / Administrator","9",0,"Medium-Sized","Married",NA,0,3,3,3,2,2,1,1,1,1,1,4,1,1,1,2,2,1,1,1,2,2,1,1,4,3,2,2,3,3,2,2,2,3,2,2,3,3,3,2,2,4,4,4,4,3,"No","No",2.2,1.4,2.35,3.6,"TEACHER / ADMINISTRATOR","PhD","*Missing*",NA
"*Missing*",4057,25,"Female","No","ma","Full-Time",87500,"0","0",1,"*Missing*","Single",0,0,3,3,2,1,1,2,2,3,4,4,2,4,3,3,4,2,3,3,4,3,4,4,2,4,4,3,4,3,4,4,3,5,2,3,3,2,3,4,4,2,4,5,5,5,4,"Yes","Yes",1.8,2.93,3.4,4.2,"*MISSING*","Masters","*Missing*",NA
"*Missing*",4058,37.5,"Male","No","phd","Full-Time",67500,"researcher","10",0,"Large-City","Married",0,0,3,3,4,3,3,5,4,5,1,4,4,5,4,5,5,5,4,4,4,4,4,4,5,5,1,4,1,5,4,4,2,4,5,5,5,5,5,3,3,4,4,4,4,4,4,"No","Yes",2.6,4.13,3.9,4,"RESEARCHER","PhD","*Missing*",NA
"*Missing*",4059,37.5,"Female","Yes","ma","Full-Time",87500,"Gove service","6",7,"Large-City","Married",0,2,4,4,4,2,2,1,1,1,2,3,5,4,2,4,4,4,2,2,2,1,4,1,1,2,2,1,3,3,4,1,1,2,1,4,4,3,2,4,2,4,5,4,3,5,1,"Yes","No",3.2,2.6,2.3,4.2,"CIVIL SERVANT","Masters","*Missing*",NA
"*Missing*",4060,45,"Female","Yes","ma","Unemployed",35000,"0","0",0,"Large-City","Married",0,1,3,3,2,2,2,2,1,1,1,2,1,1,1,3,1,3,1,3,1,4,4,3,2,4,3,2,4,2,4,1,1,3,2,3,4,4,3,3,5,3,4,5,4,4,5,"Yes","No",2.2,1.6,3.05,4,"*MISSING*","Masters","*Missing*",NA
"*Missing*",4063,20,"Female","No","ltuni","Student",NA,"0","0",0,"*Missing*","Single",0,0,4,4,4,3,3,2,2,3,3,2,1,4,4,1,3,4,4,3,4,3,3,2,3,2,4,2,2,4,5,4,4,4,1,4,4,3,3,5,3,3,3,3,3,5,4,"Yes","No",3,2.87,3.25,3.4,"*MISSING*","Left University","*Missing*",NA
"*Missing*",4064,28,"Female","No","phd","Student",NA,"0","0",0,"*Missing*","*Missing*",0,0,4,5,4,4,4,3,5,3,5,5,4,5,4,5,5,4,4,4,4,5,5,4,2,4,4,4,5,4,5,4,4,5,3,4,4,4,4,5,5,4,4,4,4,3,3,"Yes","Yes",3.4,4.27,4.2,3.8,"*MISSING*","PhD","*Missing*",NA
"*Missing*",4065,32.5,"Female","No","deg","Full-Time",NA,"Pharmacist","10",0,"*Missing*","Married",0,0,3,5,4,4,4,3,3,3,4,4,3,4,3,3,4,4,4,4,3,4,4,3,4,3,3,4,3,4,3,3,3,3,2,4,3,4,3,4,4,3,3,3,2,2,2,"Yes","Yes",3.2,3.53,3.4,2.6,"PHARMACIST","Degree","*Missing*",NA
"*Missing*",4066,19,"Female","No","ltuni","*Missing*",NA,"0","0",0,"Medium-Sized","*Missing*",0,0,3,4,3,2,2,2,4,3,4,4,2,4,3,1,4,4,4,4,4,3,4,3,2,3,5,4,4,4,4,5,4,4,4,4,4,4,3,5,4,3,2,3,3,4,4,"Yes","Yes",2.4,3.27,3.85,3,"*MISSING*","Left University","*Missing*",NA
"*Missing*",4068,45,"Female","Yes","lthigh","Unemployed",25000,"warehouse","14",0,"*Missing*","Married",NA,2,5,4,2,2,1,1,1,5,4,4,5,4,4,3,4,1,2,2,3,1,4,1,3,5,2,1,3,2,4,3,2,4,4,4,4,3,3,3,5,3,3,3,3,3,3,"Yes","Yes",3,2.93,3.05,3,"WAREHOUSE","Left High School","*Missing*",NA
"*Missing*",4072,67.5,"Female","Yes","ltuni","Retired",NA,"0","0",0,"Large-City","Married",NA,0,3,3,2,2,2,1,1,2,2,2,1,2,2,2,2,1,1,2,2,1,3,1,1,3,3,1,3,2,3,1,4,3,1,1,3,1,1,3,4,3,4,4,5,5,5,"Yes","No",2,1.67,2.15,4.2,"*MISSING*","Left University","*Missing*",NA
"*Missing*",4073,37.5,"Female","No","phd","Full-Time",45000,"Academic","4",8,"Small City","Single",0,0,3,4,4,3,3,1,2,3,4,4,3,3,4,2,3,3,4,2,4,2,4,3,2,4,3,2,4,4,4,2,4,4,1,2,4,4,2,4,4,3,3,4,3,3,3,"Yes","Yes",2.8,3,3.15,3.2,"TEACHER","PhD","*Missing*",NA
"*Missing*",4075,22,"Female","No","ltuni","Student",10000,"0","0",0,"Large Town","Single",0,0,4,4,5,4,4,3,2,2,3,1,2,5,5,2,5,5,4,4,2,4,4,2,4,2,5,2,4,4,1,5,4,4,2,5,5,5,5,4,5,4,5,5,5,4,5,"Yes","Yes",3.4,3.27,3.8,4.6,"*MISSING*","Left University","*Missing*",NA
"*Missing*",4076,67.5,"Female","No","ma","Retired",67500,"0","0",0,"*Missing*","*Missing*",0,0,3,3,3,2,3,2,3,5,4,3,3,3,3,3,3,3,4,2,4,4,4,2,3,3,3,3,4,3,4,3,4,3,3,4,3,4,3,3,3,3,3,3,3,3,3,"Yes","Yes",2.2,3.2,3.3,3,"*MISSING*","Masters","*Missing*",NA
"*Missing*",4077,45,"Male","No","phd","Full-Time",25000,"0","6",0,"Small Town","Single",0,0,4,4,4,3,3,3,2,4,3,3,4,3,3,2,3,4,2,4,2,3,4,2,3,4,4,2,4,4,4,4,4,4,4,3,3,4,4,4,3,4,2,2,2,2,2,"Yes","Yes",3,3,3.55,2.4,"*MISSING*","PhD","*Missing*",NA
"*Missing*",4078,25,"Female","No","ltuni","Student",NA,"please specify","4",0,"*Missing*","*Missing*",0,0,4,3,3,3,4,1,2,4,3,3,4,3,3,3,4,3,4,3,2,2,4,1,3,1,3,3,3,3,3,4,2,4,2,2,4,4,4,3,5,4,2,1,2,3,1,"Yes","Yes",2.6,3.07,3,2.4,"*MISSING*","Left University","*Missing*",NA
"*Missing*",4079,21,"Male","No","dip","Student",15000,"vidoe","5",0,"*Missing*","Single",0,0,2,2,2,2,2,2,2,3,3,3,4,4,3,3,3,2,3,3,3,3,3,3,2,3,3,1,3,2,3,2,3,3,2,2,4,3,3,3,4,3,3,3,3,3,3,"Yes","No",1.6,2.87,2.75,3,"VIDEOGRAPHER","Diploma","*Missing*",NA
"*Missing*",4081,21,"Female","No","ltuni","Student",10000,"Nanny","0",3,"Small Town","Single",0,0,3,3,3,2,2,2,1,1,2,3,4,5,2,2,3,2,2,3,1,4,4,3,1,3,4,3,3,3,3,1,1,4,3,3,4,4,4,3,3,4,5,5,5,5,5,"Yes","Yes",2.2,2.33,3.05,4.8,"NANNY","Left University","*Missing*",NA
"*Missing*",4082,32.5,"Female","Yes","ltuni","Student",10000,"0","0",0,"Large-City","Married",NA,0,4,4,4,3,3,5,2,5,3,2,2,5,5,1,5,2,4,4,3,4,4,2,3,4,5,3,5,3,5,5,3,5,3,3,5,5,5,3,4,3,3,3,4,3,3,"Yes","Yes",3,3.4,3.95,3.2,"*MISSING*","Left University","*Missing*",NA
"*Missing*",4083,37.5,"Male","No","ma","Full-Time",150000,"0","0",0,"*Missing*","Married",0,0,2,3,2,3,3,3,3,3,3,2,2,4,4,2,3,3,4,5,4,3,3,3,4,2,2,2,4,2,3,3,3,4,4,4,4,5,5,4,3,4,3,3,3,3,2,"Yes","No",2,3.2,3.35,3.2,"*MISSING*","Masters","*Missing*",NA
"*Missing*",4086,45,"Male","Yes","ma","Full-Time",NA,"0","0",0,"Medium-Sized","Separated",NA,2,2,3,3,2,2,2,3,2,3,3,2,4,3,3,3,2,4,2,2,3,3,2,2,3,2,2,2,4,2,2,4,3,3,3,3,4,2,4,2,4,3,2,3,4,3,"Yes","Yes",2.4,2.67,2.75,3.2,"*MISSING*","Masters","*Missing*",NA
"*Missing*",4089,28,"Female","No","deg","Part-Time",10000,"Doctor; Physician","4",0,"Large-City","Divorced",0,0,5,5,5,4,4,1,1,4,4,2,1,4,4,4,3,5,2,4,3,1,4,3,3,3,4,4,2,5,5,4,5,5,1,5,4,4,4,5,5,5,2,2,2,2,3,"Yes","Yes",3.8,3.07,3.8,2.6,"PHYSICIAN","Degree","*Missing*",NA
"*Missing*",4092,25,"Female","No","deg","Full-Time",NA,"0","0",0,"*Missing*","Single",0,0,3,3,2,2,2,1,1,3,3,3,5,4,5,3,4,4,2,3,2,4,4,1,2,5,3,3,4,3,4,3,4,4,2,2,5,4,3,4,5,4,4,5,4,4,5,"Yes","Yes",2,3,3.45,4.2,"*MISSING*","Degree","*Missing*",NA
"*Missing*",4093,20,"Female","No","deg","Student",15000,"Grocery Store Salesman","4",7,"*Missing*","Single",0,0,3,2,1,1,1,1,2,2,3,2,3,2,2,2,3,2,2,2,3,3,4,2,1,3,2,3,2,3,2,3,4,2,2,2,2,3,2,2,3,2,4,4,4,4,3,"Yes","No",1.4,2.13,2.5,3.6,"GROCERY STORE SALESMAN","Degree","*Missing*",NA
"*Missing*",4095,45,"Male","No","ma","*Missing*",NA,"0","0",0,"Large-City","Single",0,0,4,4,5,5,5,4,5,4,5,5,2,5,4,4,4,3,5,5,5,5,5,4,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,2,1,1,1,"Yes","Yes",3.6,4.33,4.55,2,"*MISSING*","Masters","*Missing*",NA
"*Missing*",4096,55,"Male","No","deg","Full-Time",150000,"0","23",0,"Medium-Sized","Divorced",0,0,3,3,2,2,1,1,3,5,5,4,3,5,4,4,5,3,4,3,4,3,4,2,4,5,2,1,3,3,4,5,5,3,3,2,4,4,4,4,4,4,3,3,3,3,2,"No","Yes",2,3.6,3.45,3.2,"*MISSING*","Degree","*Missing*",NA
"*Missing*",4097,28,"Female","No","ma","*Missing*",NA,"0","0",0,"*Missing*","*Missing*",0,0,4,3,4,2,2,3,2,2,3,2,1,4,3,2,2,4,3,4,3,4,4,2,3,3,4,5,5,3,3,2,3,3,5,5,4,5,5,4,4,4,2,2,3,3,1,"Yes","Yes",2.6,2.67,3.8,2.8,"*MISSING*","Masters","*Missing*",NA
"*Missing*",4099,19,"Female","No","ltuni","Student",10000,"0","0",0,"Medium-Sized","Single",0,0,3,3,2,2,2,3,1,4,4,3,1,3,3,1,4,3,3,4,1,3,4,1,1,4,4,2,4,3,4,2,3,4,3,2,3,4,4,4,4,4,4,4,4,4,4,"Yes","Yes",2,2.67,3.15,4,"*MISSING*","Left University","*Missing*",NA
"*Missing*",4100,28,"Female","No","dip","Student",25000,"0","4",0,"Large-City","Separated",0,0,5,4,2,2,2,2,1,4,2,2,2,2,4,1,3,5,3,4,2,4,4,3,2,3,3,3,3,3,4,2,3,4,2,2,3,4,3,4,3,4,3,2,3,2,1,"Yes","No",2.6,2.6,3.1,2.8,"*MISSING*","Diploma","*Missing*",NA
"*Missing*",4101,55,"Male","Yes","phd","Full-Time",87500,"0","6",0,"Large-City","Separated",3,0,3,1,2,2,1,1,2,4,3,3,1,3,4,4,4,1,1,2,2,4,4,1,1,5,4,2,4,2,4,2,4,5,1,2,5,4,3,2,4,5,3,5,3,3,3,"Yes","Yes",1.6,2.4,3.15,3.8,"*MISSING*","PhD","*Missing*",NA
"*Missing*",4102,55,"Female","Yes","deg","Unemployed",NA,"0","0",0,"*Missing*","Divorced",NA,0,4,3,4,3,3,1,1,4,4,4,3,3,4,3,4,1,2,3,2,2,4,2,2,2,3,1,3,4,4,3,3,4,2,2,4,3,3,4,2,4,3,4,4,4,2,"Yes","Yes",2.8,2.8,2.85,3.8,"*MISSING*","Degree","*Missing*",NA
"*Missing*",4103,23,"Female","No","deg","Student",NA,"0",NA,0,"Medium-Sized","Single",0,0,3,2,5,2,1,1,1,1,2,1,2,1,2,1,2,5,2,3,1,3,2,2,2,5,5,1,3,5,5,1,3,3,1,3,4,4,3,5,5,4,2,4,4,4,2,"Yes","Yes",2.4,1.73,3.25,3.6,"*MISSING*","Degree","*Missing*",NA
"*Missing*",4104,20,"Female","No","ltuni","Student",NA,"0","0",0,"*Missing*","*Missing*",0,0,3,3,3,1,1,1,3,2,4,1,4,3,3,1,3,4,4,2,4,1,4,1,2,4,2,2,3,5,5,3,4,4,3,3,4,4,3,4,3,3,4,3,4,5,5,"Yes","Yes",2,2.67,3.2,3.8,"*MISSING*","Left University","*Missing*",NA
"*Missing*",4105,28,"Female","No","ma","Student",35000,"please specify","5",8,"*Missing*","Single",0,0,4,4,4,4,4,1,1,1,1,4,2,3,3,4,5,1,1,1,1,3,4,4,2,4,4,3,4,3,5,1,2,5,1,2,4,2,1,5,5,5,1,3,2,3,1,"Yes","Yes",3.2,2.2,3.2,2.8,"*MISSING*","Masters","*Missing*",NA
"*Missing*",4106,55,"Female","No","ma","Student",15000,"Doctoral Candidate!!!  no wonder i'm doi","5",0,"Medium-Sized","*Missing*",0,0,5,5,5,3,3,1,1,2,1,3,1,3,3,1,4,2,1,2,1,3,4,1,1,2,1,2,3,4,4,2,4,5,2,2,3,2,1,5,4,5,5,5,4,4,2,"Yes","Yes",3.6,1.93,2.75,4.6,"DOCTORAL CANDIDATE!!!  NO WONDER I'M DOI","Masters","*Missing*",NA
"*Missing*",4107,45,"Female","No","dip","Unemployed",NA,"photo profucer","12",0,"Medium-Sized","Single",0,0,3,3,3,3,3,3,3,4,3,4,3,3,3,2,4,3,4,3,4,3,3,2,3,4,4,3,4,3,3,4,3,4,4,4,3,4,3,3,3,2,3,3,3,4,4,"Yes","No",2.4,3.27,3.35,3,"PHOTOGRAPHER","Diploma","*Missing*",NA
"*Missing*",4111,28,"Male","No","deg","Student",NA,"0","0",0,"*Missing*","*Missing*",0,0,5,5,5,4,4,5,1,5,1,3,4,1,3,2,3,5,1,5,1,1,5,4,2,5,4,3,5,5,5,1,2,5,5,5,4,4,4,4,5,4,2,2,3,3,3,"Yes","No",3.8,2.93,3.9,2.8,"*MISSING*","Degree","*Missing*",NA
"*Missing*",4112,32.5,"Male","No","ma","Full-Time",150000,"0","0",0,"*Missing*","*Missing*",0,0,4,5,4,2,2,2,2,4,3,2,2,2,4,3,2,4,2,4,2,2,3,4,4,3,4,2,4,4,2,5,4,4,2,4,4,5,4,4,3,4,3,4,4,4,2,"Yes","No",3,2.67,3.55,3.8,"*MISSING*","Masters","*Missing*",NA
"*Missing*",4113,37.5,"Male","Yes","phd","Full-Time",250000,"Teacher assistant","9",0,"Large-City","Married",0,1,3,3,5,1,5,1,1,1,2,1,1,2,1,1,2,1,3,2,2,2,2,1,1,1,1,1,2,1,1,1,5,2,1,1,2,2,1,1,1,1,5,4,5,5,3,"No","No",2.6,1.73,1.5,4,"TEACHER ASSISTANT","PhD","*Missing*",NA
"*Missing*",4114,32.5,"Female","No","deg","Student",NA,"0","0",0,"*Missing*","Married",0,0,3,3,5,3,3,3,3,3,4,3,1,3,4,3,4,5,4,5,4,4,4,3,4,5,3,4,3,4,4,4,4,4,3,4,4,4,3,4,4,4,3,3,3,3,2,"Yes","Yes",2.8,3.47,3.8,3.2,"*MISSING*","Degree","*Missing*",NA
"*Missing*",4115,28,"Female","No","ma","Full-Time",NA,"0","0",0,"*Missing*","Married",0,0,3,2,4,2,2,2,2,5,2,2,2,2,2,1,2,2,1,2,2,3,3,2,2,3,1,2,3,3,4,1,2,3,4,2,3,3,2,3,3,2,4,4,3,4,4,"Yes","No",2.2,2.07,2.6,3.4,"*MISSING*","Masters","*Missing*",NA
"*Missing*",4116,32.5,"Female","No","ma","Unemployed",NA,"0","0",0,"Large-City","Married",0,0,3,3,3,2,4,1,2,3,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,3,2,3,3,3,1,4,2,2,3,3,3,2,2,3,2,3,4,3,3,3,"Yes","Yes",2.2,2.2,2.45,3,"*MISSING*","Masters","*Missing*",NA
"*Missing*",4117,45,"Female","Yes","phd","Unemployed",250000,"Doctor; Physician","14",0,"Small City","Widowed",NA,0,5,3,5,4,4,2,5,2,5,5,1,5,5,4,5,1,5,5,5,5,5,5,4,1,5,2,5,5,5,3,5,5,3,4,5,5,3,4,4,2,5,4,4,5,2,"Yes","Yes",3.4,3.93,4.15,4,"PHYSICIAN","PhD","*Missing*",NA
"*Missing*",4119,20,"Female","No","ltuni","Student",NA,"0","0",0,"Large-City","Single",0,0,5,4,4,4,4,1,3,3,5,4,2,4,3,4,5,1,2,5,3,1,4,1,2,5,5,3,4,4,5,5,4,5,1,3,3,3,4,4,5,4,3,3,3,3,4,"Yes","Yes",3.4,3.27,3.55,3.2,"*MISSING*","Left University","*Missing*",NA
"*Missing*",4120,24,"Female","No","phd","*Missing*",NA,"0","0",0,"*Missing*","*Missing*",0,0,5,3,5,3,3,1,2,1,5,2,1,2,3,2,4,3,2,3,2,2,3,1,2,5,4,2,3,4,4,3,3,5,1,3,3,3,3,4,2,4,4,4,4,4,4,"Yes","Yes",3.2,2.4,3,4,"*MISSING*","PhD","*Missing*",NA
"*Missing*",4122,22,"Male","No","ma","Student",NA,"0","7",0,"*Missing*","*Missing*",0,0,5,4,3,2,2,4,3,5,4,3,5,4,4,2,5,4,4,3,4,4,4,1,2,5,4,1,4,3,4,1,2,4,4,4,4,5,4,4,5,4,2,3,3,2,1,"Yes","Yes",2.8,3.73,3.45,2.8,"*MISSING*","Masters","*Missing*",NA
"*Missing*",4123,45,"Female","No","phd","Unemployed",10000,"0","0",0,"*Missing*","*Missing*",0,0,3,2,2,2,2,2,1,2,3,3,2,2,2,2,3,3,2,3,2,2,2,2,2,4,4,2,3,3,3,2,3,3,3,3,3,2,2,2,3,3,2,2,2,2,2,"No","No",1.8,2.27,2.65,2.2,"*MISSING*","PhD","*Missing*",NA
