"RowID","ï..Age","Gender","Kids","Edu","Work.Status","Annual.Income","Current.Occupation","How.long.have.you.held.this.position...Years","How.long.have.you.held.this.position...Months","Community.size","Country.of.residence","Marital.Status","Number.of.sons","Number.of.daughters","X.DP.1..I.waste.a.lot.of.time.on.trivial.matters.before.getting.to.the.final.decisions","X.DP.2..Even.after.I.make.a.decision.I.delay.acting.upon.it","X.DP.3..I.donâ..t.make.decisions.unless.I.really.have.to","X.DP.4..I.delay.making.decisions.until.itâ..s.too.late","X.DP.5..I.put.off.making.decisions.until.itâ..s.too.late","X.AIP.1..I.pay.my.bills.on.time","X.AIP.2.I.am.prompt.and.on.time.for.most.appointments.","X.AIP.3.I.lay.out.my.clothes.the.night.before.I.have.an.important.appointment..so.I.wonâ..t.be.late","X.AIP.4..I.find.myself.running.later.than.I.would.like.to.be","X.AIP.5..I.donâ..t.get.things.done.on.time","X.AIP.6..If.someone.were.teaching.a.course.on.how.to.get.things.done.on.time..I.would.attend","X.AIP.7..My.friends.and.family.think.I.wait.until.the.last.minute.","X.AIP.8..I.get.important.things.done.with.time.to.spare","X.AIP.9..I.am.not.very.good.at.meeting.deadlines","X.AIP.10..I.find.myself.running.out.of.time.","X.AIP.11..I.schedule.doctorâ..s.appointments.when.I.am.supposed.to.without.delay","X.AIP.12..I.am.more.punctual.than.most.people.I.know","X.AIP.13..I.do.routine.maintenance..e.g...changing.the.car.oil..on.things.I.own.as.often.as.I.should","X.AIP.14.When.I.have.to.be.somewhere.at.a.certain.time.my.friends.expect.me.to.run.a.bit.late","X.AIP.15.Putting.things.off.till.the.last.minute.has.cost.me.money.in.the.past","X.GP.1.I.often.find.myself.performing.tasks.that.I.had.intended.to.do.days.before","X.GP2..I.often.miss.concerts..sporting.events..or.the.like.because.I.donâ..t.get.around.to.buying.tickets.on.time","X.GP.3..When.planning.a.party..I.make.the.necessary.arrangements.well.in.advance","X.GP.4..When.it.is.time.to.get.up.in.the.morning..I.most.often.get.right.out.of.bed","X.GP.5..A.letter.may.sit.for.days.after.I.write.it.before.mailing.it.possible","X.GP.6..I.generally.return.phone.calls.promptly","X.GP.7..Even.jobs.that.require.little.else.except.sitting.down.and.doing.them..I.find.that.they.seldom.get.done.for.days","X.GP.8..I.usually.make.decisions.as.soon.as.possible","X.GP.9..I.generally.delay.before.starting.on.work.I.have.to.do","X.GP.10..When.traveling..I.usually.have.to.rush.in.preparing.to.arrive.at.the.airport.or.station.at.the.appropriate.time","X.GP.11..When.preparing.to.go.out..I.am.seldom.caught.having.to.do.something.at.the.last.minute","X.GP.12..In.preparation.for.some.deadlines..I.often.waste.time.by.doing.other.things","X.GP.13..If.a.bill.for.a.small.amount.comes..I.pay.it.right.away","X.GP.14..I.usually.return.a.â.œRSVPâ...request.very.shortly.after.receiving.it","X.GP.15..I.often.have.a.task.finished.sooner.than.necessary","X.GP.16..I.always.seem.to.end.up.shopping.for.birthday.gifts.at.the.last.minute","X.GP.17..I.usually.buy.even.an.essential.item.at.the.last.minute","X.GP.18..I.usually.accomplish.all.the.things.I.plan.to.do.in.a.day","X.GP.19..I.am.continually.saying.â.œIâ..ll.do.it.tomorrowâ..","X.GP.20..I.usually.take.care.of.all.the.tasks.I.have.to.do.before.I.settle.down.and.relax.for.the.evening","X.SWLS.1..In.most.ways.my.life.is.close.to.my.ideal","X.SWLS.2.The.conditions.of.my.life.are.excellent","X.SWLS.3..I.am.satisfied.with.my.life.","X.SWLS.4..So.far.I.have.gotten.the.important.things.I.want.in.life","X.SWLS.5..If.I.could.live.my.life.over..I.would.change.almost.nothing","Do.you.consider.yourself.a.procrastinator.","Do.others.consider.you.a.procrastinator."
13,25,"Male","No Kids","deg","full-time",15000,"",0,0,"Small Town","Lithuania","Single","0",0,5,5,5,4,4,1,1,4,1,2,5,5,4,4,5,4,3,1,1,5,4,3,4,4,1,4,3,5,2,1,2,4,3,2,4,5,5,4,5,4,5,5,4,5,5,"yes","yes"
14,28,"Male","No Kids","grade","full-time",150000,"",1,3,"Small Town","Saudi Arabia","Single","0",0,5,4,5,4,4,2,4,3,5,4,5,4,3,4,4,5,3,5,4,4,4,3,4,4,3,3,3,5,4,5,4,4,3,3,4,3,4,4,3,3,3,3,4,2,2,"yes","yes"
15,55,"Male","Yes Kids","ltuni","full-time",250000,"",NA,0,"Small Town","Saudi Arabia","Separated","Male",1,2,2,1,1,1,2,2,3,2,1,2,2,3,2,2,4,3,3,2,2,2,2,3,3,2,3,2,3,2,1,5,2,2,2,3,2,2,3,2,3,2,1,3,2,1,"no","yes"
16,55,"Female","Yes Kids","phd","full-time",10000,"",NA,0,"Small Town","Bulgaria","Widowed","Male",0,4,4,3,3,3,2,1,1,3,2,3,2,4,1,4,4,2,3,2,2,4,3,1,4,3,2,4,3,4,3,3,4,2,2,3,3,3,3,4,1,1,3,2,3,2,"yes","no"
17,28,"Female","No Kids","ltuni","unemployed",10000,"",0,0,"Village","Bulgaria","Married","0",0,5,5,5,5,4,1,1,3,1,5,5,5,4,5,5,5,3,2,1,2,5,3,4,3,4,2,5,4,5,5,1,5,3,3,5,2,5,5,5,5,1,1,1,1,1,"yes","yes"
18,55,"Female","No Kids","phd","full-time",10000,"",5,0,"Small Town","Macedonia","Married","0",0,4,4,4,2,2,3,2,5,2,4,4,3,4,3,4,3,2,3,2,3,4,3,2,2,3,2,3,3,4,4,3,4,3,4,4,4,4,5,5,4,3,3,2,3,2,"yes","no"
19,28,"Female","Yes Kids","deg","full-time",NA,"",8,9,"Small Town","Sri Lanka","Married","0",1,5,4,5,4,4,2,2,2,3,4,5,3,4,4,5,4,5,4,4,5,1,3,4,5,1,4,4,3,5,4,5,4,3,4,5,5,4,5,4,4,5,4,3,4,2,"yes","no"
20,45,"Male","Yes Kids","ma","full-time",55000,"",1,0,"Village","Ecuador","Married","Female",1,4,4,4,4,4,4,2,2,3,4,2,2,3,2,3,4,1,2,1,3,4,1,3,2,4,3,4,4,4,2,2,3,2,2,4,4,2,3,4,3,2,3,2,3,2,"yes","yes"
21,45,"Male","Yes Kids","deg","full-time",35000,"",5,0,"Village","Ecuador","Married","Female",2,5,5,4,4,4,3,5,4,5,5,4,5,5,5,5,5,5,4,5,4,5,4,5,3,5,4,5,5,5,4,5,5,5,4,5,5,5,5,4,4,3,3,3,3,2,"yes","yes"
22,37.5,"Male","Yes Kids","dip","full-time",10000,"",3,0,"Village","Ecuador","Divorced","Male",0,4,4,4,4,4,5,3,5,5,4,4,3,4,2,4,5,4,5,5,4,4,4,4,4,2,3,4,4,4,3,3,3,4,4,4,4,4,4,2,3,3,2,3,2,1,"yes","no"
23,55,"Male","No Kids","deg","full-time",87500,"",2.1e-24,6,"Large Town","Afghanistan","Married","0",0,3,3,3,4,3,3,2,2,2,3,2,3,3,2,3,4,2,4,2,3,4,2,4,3,3,3,3,4,4,2,2,3,2,4,3,4,3,3,4,4,3,2,2,3,2,"yes","no"
24,55,"Female","Yes Kids","deg","full-time",10000,"",7,0,"Village","Afghanistan","Divorced","4",0,4,3,4,3,2,1,2,1,4,3,5,4,4,3,3,3,4,3,3,3,3,2,2,5,3,3,3,5,3,1,2,3,1,1,3,3,3,4,3,3,1,1,1,3,1,"no","yes"
25,80,"Female","No Kids","grade","unemployed",10000,"",0,0,"Medium-Sized","Afghanistan","Single","0",0,2,3,2,3,5,2,2,3,4,2,2,2,1,1,3,5,4,3,3,4,4,4,1,4,4,4,4,3,2,2,3,3,2,3,2,4,4,4,3,4,2,4,3,3,2,"yes","no"
26,55,"Male","Yes Kids","ma","full-time",150000,"",2.1e-24,0,"Large Town","Afghanistan","Married","4",2,4,4,4,3,3,3,4,5,4,3,4,3,5,4,3,5,5,1,5,4,4,4,5,3,1,3,4,4,4,4,4,4,3,4,4,4,4,4,3,4,3,3,2,2,2,"yes","yes"
27,20,"Male","No Kids","high","student",NA,"",1.5e-19,0,"Village","Panama","Single","0",0,5,5,5,5,5,1,5,4,5,5,5,5,5,2,5,4,3,5,1,5,5,3,2,1,5,1,5,5,5,5,5,5,1,1,5,5,5,5,5,5,1,3,1,4,1,"yes","no"
28,45,"Female","No Kids","phd","full-time",87500,"",10,6,"Small Town","Guam","Divorced","0",0,4,4,4,4,4,1,1,1,2,3,4,2,5,3,4,2,2,2,2,2,4,2,2,5,1,2,5,3,4,2,2,5,1,2,4,4,1,2,4,3,2,3,2,4,2,"yes","no"
29,37.5,"Male","Yes Kids","ma","full-time",10000,"",0,0,"Small Town","Pakistan","Married","Male",1,3,4,4,3,3,1,1,4,3,4,4,4,3,2,3,3,3,3,2,2,4,2,2,3,4,3,3,3,3,2,3,3,3,5,3,4,3,3,3,4,4,4,4,4,4,"yes","yes"
30,16.5,"Male","No Kids","lthigh","student",NA,"",10,0,"Small Town","Estonia","Single","0",0,5,5,4,4,4,3,4,5,4,4,4,5,4,4,5,3,4,3,4,3,5,3,3,4,3,2,5,4,4,3,5,5,3,3,4,4,3,4,5,4,1,3,3,2,1,"yes","yes"
31,23,"Female","No Kids","deg","full-time",35000,"",0,3,"Village","Kenya","Single","0",0,5,5,5,1,1,1,5,5,5,4,2,4,4,5,4,1,4,1,5,5,4,2,4,5,3,3,3,5,4,4,2,4,2,2,4,5,1,4,4,4,3,3,3,2,3,"yes","yes"
32,32.5,"Female","No Kids","ltuni","full-time",55000,"",6,9,"Village","Guyana","Single","0",0,2,2,3,1,1,1,3,3,3,1,3,2,2,1,1,3,3,3,3,2,2,3,3,3,3,4,3,3,3,2,4,3,3,3,3,1,3,3,3,3,4,4,4,3,3,"no","no"
33,23,"Male","No Kids","ma","student",10000,"",0,9,"Village","Puerto Rico","Single","0",0,5,5,5,5,5,3,4,3,5,4,5,5,5,5,5,5,5,4,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,"yes","yes"
34,55,"Female","Yes Kids","phd","full-time",67500,"",NA,0,"Small Town","Puerto Rico","Married","0",2,5,5,5,4,4,5,2,1,4,5,2,5,4,5,5,3,2,4,4,4,5,3,2,2,4,3,5,3,4,4,3,5,3,2,5,5,4,5,5,5,2,4,3,3,2,"yes","yes"
35,32.5,"Female","Yes Kids","phd","unemployed",NA,"",5,0,"Medium-Sized","Puerto Rico","Married","3",0,5,5,5,5,5,1,2,4,4,5,5,5,5,3,5,1,4,5,3,5,5,4,3,1,5,5,4,5,5,5,5,5,1,3,5,5,5,4,5,1,2,1,2,4,1,"yes","yes"
36,37.5,"Male","Yes Kids","deg","full-time",150000,"0",2,0,"Medium-Sized","Bermuda","Married","Male",2,3,3,3,3,3,2,2,3,3,3,3,3,3,2,3,2,3,3,3,3,3,2,2,3,2,2,2,2,3,2,3,3,3,2,3,3,2,3,3,3,3,4,3,4,3,"yes","yes"
37,19,"Male","No Kids","ltuni","full-time",150000,"",1,0,"Small Town","Bermuda","Single","0",0,4,1,1,1,1,1,1,1,1,1,2,3,2,5,3,2,1,3,1,3,4,1,4,4,1,3,3,1,4,5,3,1,4,4,3,5,3,2,2,4,5,2,1,1,1,"yes","yes"
38,20,"Male","No Kids","ltuni","student",10000,"0",0,0,"Large-City","Croatia","Single","0",0,3,4,1,1,1,3,2,3,4,3,4,4,3,2,4,3,3,2,1,2,3,1,1,4,2,2,1,5,4,2,3,3,1,3,4,3,1,3,2,5,3,4,4,3,3,"yes","no"
39,28,"Male","No Kids","deg","full-time",15000,"",1,0,"Village","Croatia","Single","0",0,5,4,3,3,2,1,1,3,2,2,4,2,3,2,5,2,2,1,2,1,4,2,3,5,4,3,4,4,3,2,2,3,5,4,4,4,3,4,3,4,4,4,3,5,4,"yes","no"
40,45,"Female","Yes Kids","deg","part-time",NA,"",10,0,"Village","Croatia","Married","Male",2,4,4,4,3,2,1,1,2,1,1,1,4,4,2,3,5,1,2,1,2,4,2,1,2,3,2,3,2,4,1,4,2,2,3,3,3,3,4,3,3,2,3,4,3,5,"yes","yes"
41,37.5,"Female","No Kids","deg","full-time",35000,"",2,10,"Village","Croatia","Married","0",0,2,2,2,2,2,1,2,1,4,2,2,4,5,2,4,2,3,2,3,4,4,2,2,4,4,2,4,2,4,2,4,4,2,2,4,4,2,4,2,2,4,4,5,5,5,"yes","no"
42,28,"Male","No Kids","ltuni","unemployed",NA,"0",0,0,"Large-City","Taiwan","Single","0",0,5,5,5,5,5,5,5,5,3,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,3,5,5,5,5,5,5,5,1,1,1,1,3,"yes","yes"
43,32.5,"Male","No Kids","deg","full-time",87500,"financial analyst",0,6,"Large-City","Hungary","Single","0",0,3,3,2,2,2,2,3,3,3,2,2,2,3,2,2,3,3,2,4,2,3,2,2,3,2,1,2,3,2,2,4,3,1,2,3,3,1,3,1,3,3,4,3,3,2,"yes","no"
44,55,"Female","No Kids","ltuni","full-time",35000,"language trainer",14,0,"Large Town","Austria","Married","0",0,5,5,4,4,4,3,1,1,2,4,4,5,4,5,5,1,3,2,2,5,5,5,3,3,4,2,5,3,5,2,4,4,3,4,4,4,3,3,5,4,3,4,4,4,2,"yes","yes"
45,32.5,"Male","No Kids","deg","part-time",35000,"Editor",0,2,"Medium-Sized","Austria","Married","0",0,4,4,4,3,3,1,2,2,3,2,4,4,4,2,2,4,3,3,2,3,4,3,4,4,2,3,2,4,4,3,4,5,2,2,4,4,3,3,3,2,3,3,2,3,2,"yes","yes"
46,37.5,"Female","No Kids","ltuni","part-time",15000,"",10,0,"Village","Austria","Married","0",0,4,4,5,4,4,3,3,5,4,5,2,5,5,5,5,5,3,5,4,4,5,5,4,4,2,3,4,5,5,3,5,5,4,4,5,4,4,5,5,5,2,2,2,2,1,"yes","yes"
47,80,"Female","Yes Kids","phd","full-time",250000,"ouh",30,11,"Large-City","Brunei","Separated","10",10,5,5,5,5,5,1,1,1,5,5,5,5,1,5,5,1,1,1,5,5,5,5,1,1,5,1,5,1,5,5,1,5,1,1,1,5,5,1,5,1,5,5,5,5,5,"yes","yes"
48,80,"Male","Yes Kids","ltuni","retired",250000,"retired",14,7,"Medium-Sized","Kazakhstan","Married","0",7,5,1,5,4,4,1,1,1,1,2,3,1,2,2,1,1,1,2,3,3,5,3,2,1,4,1,5,4,3,1,5,2,2,4,2,4,3,4,4,3,3,4,3,5,2,"yes","yes"
49,45,"Female","Yes Kids","high","part-time",10000,"Software Sales",30,0,"Small Town","Malta","Married","Female",1,4,1,1,1,1,1,3,2,4,2,1,5,1,1,2,1,5,1,4,4,2,1,1,1,4,2,1,1,3,3,5,5,1,1,1,2,4,1,1,3,4,3,3,4,1,"yes","yes"
50,32.5,"Female","No Kids","ma","full-time",67500,"",2,0,"Rural/Country","Malta","Single","0",0,3,3,2,2,2,3,3,4,4,4,4,2,3,2,4,4,3,3,3,2,4,1,1,4,4,1,2,2,2,3,3,3,3,1,3,3,4,3,3,3,1,3,3,2,1,"yes","no"
51,45,"Female","No Kids","deg","full-time",NA,"Civil servant",17,0,"Small City","Luxembourg","Separated","0",0,2,2,5,2,2,1,1,2,2,1,2,2,4,1,4,1,2,1,2,2,4,1,1,2,1,1,4,2,3,2,4,3,1,2,3,1,2,3,3,3,2,4,3,3,4,"yes","yes"
52,16.5,"Male","No Kids","ltuni","part-time",10000,"please specify",17,0,"Medium-Sized","Lebanon","Single","0",0,3,5,4,4,4,1,1,3,2,4,5,5,5,4,5,1,3,4,3,5,3,5,2,2,5,4,4,1,2,1,4,5,1,4,4,4,5,2,5,2,2,1,2,1,1,"yes","yes"
53,16.5,"Female","No Kids","","student",NA,"please specify",14,0,"Medium-Sized","Singapore","Single","0",0,5,5,5,3,3,2,1,1,4,2,3,5,4,2,5,5,1,4,2,1,5,2,4,2,3,3,3,4,5,5,1,5,3,3,4,5,3,5,5,5,3,2,2,2,2,"yes","yes"
54,7.5,"Male","No Kids","lthigh","student",10000,"",2,4,"Large Town","Singapore","Single","0",0,4,4,3,1,1,1,1,3,1,1,3,5,1,3,3,3,1,1,1,1,1,1,3,1,4,2,3,3,2,1,4,2,1,1,3,3,1,5,5,2,1,1,1,1,1,"yes","no"
55,25,"Female","No Kids","deg","full-time",15000,"",2,0,"Small Town","Singapore","Single","0",0,3,2,1,2,2,2,2,2,3,3,2,2,3,2,2,3,3,4,3,2,2,2,4,2,3,2,1,2,3,2,3,3,2,3,3,4,3,3,2,3,3,3,3,2,3,"yes","no"
56,28,"Male","No Kids","deg","full-time",25000,"",4,0,"Village","Singapore","Single","0",0,5,5,5,5,5,4,1,3,5,5,5,5,5,5,5,4,4,4,4,5,5,5,5,5,3,1,5,5,5,5,4,5,1,3,5,5,5,5,5,5,1,1,1,1,1,"yes","no"
57,45,"Male","No Kids","ma","full-time",150000,"",6,0,"Village","Singapore","Single","0",0,3,2,3,3,3,2,1,3,3,2,2,4,3,2,4,1,2,3,2,3,4,3,3,3,3,2,4,3,3,4,3,4,3,3,2,4,4,3,4,3,3,3,3,2,4,"no","no"
58,28,"Male","No Kids","deg","full-time",25000,"",0,3,"Village","Singapore","Single","0",0,4,4,4,4,3,2,4,3,5,4,3,4,4,4,4,4,5,4,5,4,4,3,4,4,3,4,3,4,3,3,2,4,2,3,4,3,4,5,3,3,2,2,3,1,2,"yes","yes"
59,37.5,"Male","Yes Kids","ma","full-time",150000,"Economy",7,0,"Large-City","Venezuela","Divorced","Male",1,2,2,2,2,2,4,4,4,2,2,2,2,4,2,2,4,4,4,2,2,2,2,4,4,2,4,2,4,2,2,4,2,4,4,4,2,2,4,2,4,2,2,2,2,2,"yes",""
60,45,"Male","Yes Kids","dip","full-time",35000,"sales manager",4,0,"Small City","Venezuela","Married","Female",1,3,3,4,4,4,4,4,3,4,4,3,4,4,3,4,4,4,3,4,4,4,3,3,4,2,2,4,3,4,4,4,2,5,3,4,1,2,4,3,3,3,4,4,4,4,"yes","yes"
61,28,"Female","No Kids","ma","part-time",25000,"0",0,0,"Large-City","Uruguay","Single","0",0,4,4,1,1,1,1,1,1,5,4,5,4,4,2,5,3,1,3,1,2,1,2,2,2,2,2,4,2,5,3,3,4,2,3,5,3,3,2,4,2,5,5,5,4,5,"yes","no"
62,24,"Male","No Kids","high","student",NA,"",0,0,"Village","Uruguay","Single","0",0,5,5,5,5,5,4,3,3,4,5,3,5,5,5,5,3,3,4,3,5,5,1,3,5,5,3,5,5,5,3,3,5,4,4,5,3,3,5,5,5,1,1,2,2,1,"yes","yes"
63,32.5,"Male","No Kids","dip","part-time",10000,"",0,3,"Small Town","Uruguay","Single","0",0,5,5,5,4,4,1,3,5,4,4,5,5,5,4,5,2,5,5,5,2,4,4,3,5,4,2,5,4,5,2,4,5,4,2,5,4,5,5,5,5,3,5,4,5,3,"yes","yes"
64,32.5,"Female","No Kids","deg","full-time",67500,"manager",3,0,"Large-City","Argentina","Single","0",0,2,1,2,2,2,1,1,1,1,5,4,1,2,2,2,3,1,2,1,1,3,2,1,4,3,2,2,2,3,5,4,1,1,1,2,2,2,2,3,2,3,4,3,4,4,"yes","no"
65,67.5,"Male","Yes Kids","","part-time",150000,"BUSINESS CONSULTA",12,0,"Small Town","Argentina","Married","3",0,3,3,3,3,3,1,2,4,4,3,2,3,3,3,3,1,3,2,3,3,3,3,3,1,2,1,2,2,3,4,2,3,2,4,3,5,3,2,2,2,3,3,4,4,3,"","no"
66,45,"Male","Yes Kids","deg","full-time",55000,"",7,0,"Village","Argentina","Married","Male",2,4,4,4,3,2,1,1,3,4,3,5,5,3,4,3,2,3,3,3,2,4,3,1,3,2,2,2,3,4,2,2,4,3,3,4,3,2,4,4,4,4,4,3,4,3,"yes","yes"
67,16.5,"Female","No Kids","lthigh","student",10000,"",1,0,"Small Town","Argentina","Single","0",0,2,3,2,1,1,3,2,3,2,3,5,3,3,2,4,3,3,4,3,1,4,3,2,3,2,2,5,4,4,2,2,4,3,3,4,4,3,3,4,4,3,4,4,4,2,"yes","no"
68,37.5,"Male","No Kids","deg","full-time",67500,"0",17,0,"Large-City","Egypt","Married","0",0,3,2,1,1,1,4,3,3,3,3,3,3,3,2,5,5,2,5,4,4,5,5,4,1,1,4,5,3,3,5,1,4,2,3,4,5,5,2,3,1,3,3,3,4,1,"yes","yes"
69,22,"Female","No Kids","deg","full-time",10000,"Copy Writer",0,3,"Large-City","Nicaragua","Single","0",0,4,4,4,3,3,3,3,4,4,3,2,4,3,3,3,3,5,4,5,4,4,2,3,5,4,3,3,4,4,4,2,4,3,3,3,4,4,3,3,2,4,4,4,3,4,"yes","yes"
