"Age","Gender","Kids","Education","EducationAlt","WrkStatus","Income","Occupation","OccupatnAlt","YearsInPos","MnthsInPos","CommSize","Country","MaritalStat","Sons","Daughters","SelfProcrast","OthrProcrast","HDICategory","DPMean","AIPMean","GPMean","SWLSMean","DP1","DP2","DP3","DP4","DP5","AIP1","AIP2","AIP3","AIP4","AIP5","AIP6","AIP7","AIP8","AIP9","AIP10","AIP11","AIP12","AIP13","AIP14","AIP15","GP1","GP2","GP3","GP4","GP5","GP6","GP7","GP8","GP9","GP10","GP11","GP12","GP13","GP14","GP15","GP16","GP17","GP18","GP19","GP20","SWLS1","SWLS2","SWLS3","SWLS4","SWLS5"
55,"Male","Yes","phd","PhD","Full-Time",87500,"","*MISSING*","0",0,"*Missing*","*Missing*","Married",NA,1,"Yes","No","*Missing*",2,2.13,2.6,3.8,2,2,3,2,2,1,2,1,3,3,2,3,2,2,2,2,3,2,2,2,3,2,3,2,3,3,2,2,2,2,3,3,2,2,3,4,3,3,3,3,4,4,4,4,4
28,"Female","No","ma","Masters","Student",NA,"","*MISSING*","3",9,"Small Town","*Missing*","Married",0,0,"Yes","Yes","*Missing*",3,3.07,4.1,3.6,4,5,3,3,3,2,1,5,2,3,4,2,4,3,4,5,2,4,2,5,5,2,3,5,5,3,5,3,4,5,3,5,1,3,5,5,5,5,5,5,3,4,2,4,4
22,"Female","No","ltuni","Left University","Part-Time",NA,"","*MISSING*","1",0,"Village","*Missing*","Single",0,0,"No","No","*Missing*",1.2,1.8,2.05,4.6,2,2,1,1,1,1,1,3,3,2,5,2,1,1,1,1,1,1,3,2,3,4,2,1,1,5,2,5,2,1,4,1,1,1,1,1,1,2,1,4,4,5,5,5,5
45,"Female","Yes","ltuni","Left University","Part-Time",25000,"","*MISSING*","4",0,"Rural/Country","*Missing*","Married",0,1,"Yes","Yes","*Missing*",3.2,4.4,3.8,3,5,4,3,3,3,5,3,5,5,5,5,4,5,5,5,3,4,5,4,5,5,3,4,2,4,3,5,5,4,1,2,5,5,3,4,5,5,5,1,1,4,3,3,4,2
23,"Female","No","deg","Degree","Student",10000,"Law clerk","LEGAL CLERK","0",8,"Small City","*Missing*","Divorced",0,0,"No","No","*Missing*",1.8,1.93,2.1,3.6,3,2,3,1,1,1,1,2,3,2,2,2,2,2,3,2,2,3,1,1,3,1,5,4,2,2,2,2,2,1,2,3,1,1,2,2,2,2,2,2,4,4,4,4,3
55,"Male","No","ltuni","Left University","Retired",55000,"Farm Manager","FARM MANAGER","8",2,"Large-City","*Missing*","Married",0,0,"Yes","Yes","*Missing*",2.4,2.07,3.05,4,3,3,3,3,3,1,1,1,1,3,1,3,3,3,3,3,2,2,1,4,3,3,2,2,3,2,4,3,4,2,4,4,2,4,3,4,2,3,3,4,4,4,4,4,1
37.5,"Male","Yes","phd","PhD","Full-Time",250000,"engineer","ENGINEER","4",0,"Large-City","*Missing*","Married",NA,0,"Yes","No","*Missing*",3,3.33,4.1,3.4,4,4,4,3,3,5,4,5,2,2,4,2,5,2,1,4,4,4,3,5,5,4,4,4,2,4,4,3,4,5,5,4,5,5,5,5,1,5,3,5,3,3,3,3,3
55,"Female","Yes","ma","Masters","Part-Time",25000,"teacher","TEACHER","17",0,"Medium-Sized","*Missing*","Divorced",NA,1,"No","No","*Missing*",1.8,1.4,2.35,3.6,3,2,2,1,1,1,1,1,3,2,1,1,1,1,2,2,2,1,1,1,3,3,1,2,3,1,3,2,3,1,4,3,2,2,3,3,3,2,2,1,4,5,4,4,3
28,"Female","No","deg","Degree","Full-Time",35000,"0","*MISSING*","0",0,"*Missing*","*Missing*","*Missing*",0,0,"Yes","No","*Missing*",0.8,2.4,3.55,3.2,1,1,1,1,1,4,3,3,3,1,1,1,2,1,1,5,2,5,3,3,4,5,2,4,5,2,4,1,4,2,5,3,4,5,3,5,3,4,3,4,3,3,3,3,4
28,"Female","No","phd","PhD","Full-Time",150000,"0","*MISSING*","0",0,"*Missing*","*Missing*","Married",0,0,"No","No","*Missing*",1.8,2.87,3.55,3.6,2,3,3,1,1,1,2,3,5,2,1,4,4,1,2,5,4,4,4,3,3,3,2,4,4,4,4,3,4,4,4,4,3,5,3,4,4,3,3,3,4,4,3,4,3
25,"Male","No","phd","PhD","*Missing*",NA,"0","*MISSING*","0",0,"Large-City","*Missing*","Single",0,0,"Yes","No","*Missing*",1.4,2.33,2.25,3.4,2,3,1,1,1,1,1,2,2,2,4,3,4,3,3,4,2,1,2,2,2,1,1,2,2,2,2,2,4,2,3,3,2,2,3,3,2,2,3,2,4,4,4,3,1
45,"Male","Yes","phd","PhD","Full-Time",150000,"manager","MANAGER","0",9,"Large-City","*Missing*","Divorced",3,1,"Yes","Yes","*Missing*",2.6,3.27,3.65,2,3,3,3,3,3,2,2,3,3,4,4,4,3,3,4,2,4,4,4,4,4,2,3,5,4,3,4,4,4,4,3,4,2,3,4,4,4,4,4,4,1,1,2,2,1
37.5,"Female","Yes","phd","PhD","Full-Time",67500,"teacher / Administrator","TEACHER / ADMINISTRATOR","9",0,"Medium-Sized","*Missing*","Married",NA,0,"No","No","*Missing*",2.2,1.4,2.35,3.6,3,3,3,2,2,1,1,1,1,1,4,1,1,1,2,2,1,1,1,2,2,1,1,4,3,2,2,3,3,2,2,2,3,2,2,3,3,3,2,2,4,4,4,4,3
25,"Female","No","ma","Masters","Full-Time",87500,"0","*MISSING*","0",1,"*Missing*","*Missing*","Single",0,0,"Yes","Yes","*Missing*",1.8,2.93,3.4,4.2,3,3,2,1,1,2,2,3,4,4,2,4,3,3,4,2,3,3,4,3,4,4,2,4,4,3,4,3,4,4,3,5,2,3,3,2,3,4,4,2,4,5,5,5,4
37.5,"Male","No","phd","PhD","Full-Time",67500,"researcher","RESEARCHER","10",0,"Large-City","*Missing*","Married",0,0,"No","Yes","*Missing*",2.6,4.13,3.9,4,3,3,4,3,3,5,4,5,1,4,4,5,4,5,5,5,4,4,4,4,4,4,5,5,1,4,1,5,4,4,2,4,5,5,5,5,5,3,3,4,4,4,4,4,4
37.5,"Female","Yes","ma","Masters","Full-Time",87500,"Gove service","CIVIL SERVANT","6",7,"Large-City","*Missing*","Married",0,2,"Yes","No","*Missing*",3.2,2.6,2.3,4.2,4,4,4,2,2,1,1,1,2,3,5,4,2,4,4,4,2,2,2,1,4,1,1,2,2,1,3,3,4,1,1,2,1,4,4,3,2,4,2,4,5,4,3,5,1
45,"Female","Yes","ma","Masters","Unemployed",35000,"0","*MISSING*","0",0,"Large-City","*Missing*","Married",0,1,"Yes","No","*Missing*",2.2,1.6,3.05,4,3,3,2,2,2,2,1,1,1,2,1,1,1,3,1,3,1,3,1,4,4,3,2,4,3,2,4,2,4,1,1,3,2,3,4,4,3,3,5,3,4,5,4,4,5
20,"Female","No","ltuni","Left University","Student",NA,"0","*MISSING*","0",0,"*Missing*","*Missing*","Single",0,0,"Yes","No","*Missing*",3,2.87,3.25,3.4,4,4,4,3,3,2,2,3,3,2,1,4,4,1,3,4,4,3,4,3,3,2,3,2,4,2,2,4,5,4,4,4,1,4,4,3,3,5,3,3,3,3,3,5,4
28,"Female","No","phd","PhD","Student",NA,"0","*MISSING*","0",0,"*Missing*","*Missing*","*Missing*",0,0,"Yes","Yes","*Missing*",3.4,4.27,4.2,3.8,4,5,4,4,4,3,5,3,5,5,4,5,4,5,5,4,4,4,4,5,5,4,2,4,4,4,5,4,5,4,4,5,3,4,4,4,4,5,5,4,4,4,4,3,3
32.5,"Female","No","deg","Degree","Full-Time",NA,"Pharmacist","PHARMACIST","10",0,"*Missing*","*Missing*","Married",0,0,"Yes","Yes","*Missing*",3.2,3.53,3.4,2.6,3,5,4,4,4,3,3,3,4,4,3,4,3,3,4,4,4,4,3,4,4,3,4,3,3,4,3,4,3,3,3,3,2,4,3,4,3,4,4,3,3,3,2,2,2
19,"Female","No","ltuni","Left University","*Missing*",NA,"0","*MISSING*","0",0,"Medium-Sized","*Missing*","*Missing*",0,0,"Yes","Yes","*Missing*",2.4,3.27,3.85,3,3,4,3,2,2,2,4,3,4,4,2,4,3,1,4,4,4,4,4,3,4,3,2,3,5,4,4,4,4,5,4,4,4,4,4,4,3,5,4,3,2,3,3,4,4
45,"Female","Yes","lthigh","Left High School","Unemployed",25000,"warehouse","WAREHOUSE","14",0,"*Missing*","*Missing*","Married",NA,2,"Yes","Yes","*Missing*",3,2.93,3.05,3,5,4,2,2,1,1,1,5,4,4,5,4,4,3,4,1,2,2,3,1,4,1,3,5,2,1,3,2,4,3,2,4,4,4,4,3,3,3,5,3,3,3,3,3,3
67.5,"Female","Yes","ltuni","Left University","Retired",NA,"0","*MISSING*","0",0,"Large-City","*Missing*","Married",NA,0,"Yes","No","*Missing*",2,1.67,2.15,4.2,3,3,2,2,2,1,1,2,2,2,1,2,2,2,2,1,1,2,2,1,3,1,1,3,3,1,3,2,3,1,4,3,1,1,3,1,1,3,4,3,4,4,5,5,5
37.5,"Female","No","phd","PhD","Full-Time",45000,"Academic","TEACHER","4",8,"Small City","*Missing*","Single",0,0,"Yes","Yes","*Missing*",2.8,3,3.15,3.2,3,4,4,3,3,1,2,3,4,4,3,3,4,2,3,3,4,2,4,2,4,3,2,4,3,2,4,4,4,2,4,4,1,2,4,4,2,4,4,3,3,4,3,3,3
22,"Female","No","ltuni","Left University","Student",10000,"0","*MISSING*","0",0,"Large Town","*Missing*","Single",0,0,"Yes","Yes","*Missing*",3.4,3.27,3.8,4.6,4,4,5,4,4,3,2,2,3,1,2,5,5,2,5,5,4,4,2,4,4,2,4,2,5,2,4,4,1,5,4,4,2,5,5,5,5,4,5,4,5,5,5,4,5
67.5,"Female","No","ma","Masters","Retired",67500,"0","*MISSING*","0",0,"*Missing*","*Missing*","*Missing*",0,0,"Yes","Yes","*Missing*",2.2,3.2,3.3,3,3,3,3,2,3,2,3,5,4,3,3,3,3,3,3,3,4,2,4,4,4,2,3,3,3,3,4,3,4,3,4,3,3,4,3,4,3,3,3,3,3,3,3,3,3
45,"Male","No","phd","PhD","Full-Time",25000,"0","*MISSING*","6",0,"Small Town","*Missing*","Single",0,0,"Yes","Yes","*Missing*",3,3,3.55,2.4,4,4,4,3,3,3,2,4,3,3,4,3,3,2,3,4,2,4,2,3,4,2,3,4,4,2,4,4,4,4,4,4,4,3,3,4,4,4,3,4,2,2,2,2,2
25,"Female","No","ltuni","Left University","Student",NA,"please specify","*MISSING*","4",0,"*Missing*","*Missing*","*Missing*",0,0,"Yes","Yes","*Missing*",2.6,3.07,3,2.4,4,3,3,3,4,1,2,4,3,3,4,3,3,3,4,3,4,3,2,2,4,1,3,1,3,3,3,3,3,4,2,4,2,2,4,4,4,3,5,4,2,1,2,3,1
21,"Male","No","dip","Diploma","Student",15000,"vidoe","VIDEOGRAPHER","5",0,"*Missing*","*Missing*","Single",0,0,"Yes","No","*Missing*",1.6,2.87,2.75,3,2,2,2,2,2,2,2,3,3,3,4,4,3,3,3,2,3,3,3,3,3,3,2,3,3,1,3,2,3,2,3,3,2,2,4,3,3,3,4,3,3,3,3,3,3
21,"Female","No","ltuni","Left University","Student",10000,"Nanny","NANNY","0",3,"Small Town","*Missing*","Single",0,0,"Yes","Yes","*Missing*",2.2,2.33,3.05,4.8,3,3,3,2,2,2,1,1,2,3,4,5,2,2,3,2,2,3,1,4,4,3,1,3,4,3,3,3,3,1,1,4,3,3,4,4,4,3,3,4,5,5,5,5,5
32.5,"Female","Yes","ltuni","Left University","Student",10000,"0","*MISSING*","0",0,"Large-City","*Missing*","Married",NA,0,"Yes","Yes","*Missing*",3,3.4,3.95,3.2,4,4,4,3,3,5,2,5,3,2,2,5,5,1,5,2,4,4,3,4,4,2,3,4,5,3,5,3,5,5,3,5,3,3,5,5,5,3,4,3,3,3,4,3,3
37.5,"Male","No","ma","Masters","Full-Time",150000,"0","*MISSING*","0",0,"*Missing*","*Missing*","Married",0,0,"Yes","No","*Missing*",2,3.2,3.35,3.2,2,3,2,3,3,3,3,3,3,2,2,4,4,2,3,3,4,5,4,3,3,3,4,2,2,2,4,2,3,3,3,4,4,4,4,5,5,4,3,4,3,3,3,3,2
45,"Male","Yes","ma","Masters","Full-Time",NA,"0","*MISSING*","0",0,"Medium-Sized","*Missing*","Separated",NA,2,"Yes","Yes","*Missing*",2.4,2.67,2.75,3.2,2,3,3,2,2,2,3,2,3,3,2,4,3,3,3,2,4,2,2,3,3,2,2,3,2,2,2,4,2,2,4,3,3,3,3,4,2,4,2,4,3,2,3,4,3
28,"Female","No","deg","Degree","Part-Time",10000,"Doctor; Physician","PHYSICIAN","4",0,"Large-City","*Missing*","Divorced",0,0,"Yes","Yes","*Missing*",3.8,3.07,3.8,2.6,5,5,5,4,4,1,1,4,4,2,1,4,4,4,3,5,2,4,3,1,4,3,3,3,4,4,2,5,5,4,5,5,1,5,4,4,4,5,5,5,2,2,2,2,3
25,"Female","No","deg","Degree","Full-Time",NA,"0","*MISSING*","0",0,"*Missing*","*Missing*","Single",0,0,"Yes","Yes","*Missing*",2,3,3.45,4.2,3,3,2,2,2,1,1,3,3,3,5,4,5,3,4,4,2,3,2,4,4,1,2,5,3,3,4,3,4,3,4,4,2,2,5,4,3,4,5,4,4,5,4,4,5
20,"Female","No","deg","Degree","Student",15000,"Grocery Store Salesman","GROCERY STORE SALESMAN","4",7,"*Missing*","*Missing*","Single",0,0,"Yes","No","*Missing*",1.4,2.13,2.5,3.6,3,2,1,1,1,1,2,2,3,2,3,2,2,2,3,2,2,2,3,3,4,2,1,3,2,3,2,3,2,3,4,2,2,2,2,3,2,2,3,2,4,4,4,4,3
45,"Male","No","ma","Masters","*Missing*",NA,"0","*MISSING*","0",0,"Large-City","*Missing*","Single",0,0,"Yes","Yes","*Missing*",3.6,4.33,4.55,2,4,4,5,5,5,4,5,4,5,5,2,5,4,4,4,3,5,5,5,5,5,4,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,2,1,1,1
55,"Male","No","deg","Degree","Full-Time",150000,"0","*MISSING*","23",0,"Medium-Sized","*Missing*","Divorced",0,0,"No","Yes","*Missing*",2,3.6,3.45,3.2,3,3,2,2,1,1,3,5,5,4,3,5,4,4,5,3,4,3,4,3,4,2,4,5,2,1,3,3,4,5,5,3,3,2,4,4,4,4,4,4,3,3,3,3,2
28,"Female","No","ma","Masters","*Missing*",NA,"0","*MISSING*","0",0,"*Missing*","*Missing*","*Missing*",0,0,"Yes","Yes","*Missing*",2.6,2.67,3.8,2.8,4,3,4,2,2,3,2,2,3,2,1,4,3,2,2,4,3,4,3,4,4,2,3,3,4,5,5,3,3,2,3,3,5,5,4,5,5,4,4,4,2,2,3,3,1
19,"Female","No","ltuni","Left University","Student",10000,"0","*MISSING*","0",0,"Medium-Sized","*Missing*","Single",0,0,"Yes","Yes","*Missing*",2,2.67,3.15,4,3,3,2,2,2,3,1,4,4,3,1,3,3,1,4,3,3,4,1,3,4,1,1,4,4,2,4,3,4,2,3,4,3,2,3,4,4,4,4,4,4,4,4,4,4
28,"Female","No","dip","Diploma","Student",25000,"0","*MISSING*","4",0,"Large-City","*Missing*","Separated",0,0,"Yes","No","*Missing*",2.6,2.6,3.1,2.8,5,4,2,2,2,2,1,4,2,2,2,2,4,1,3,5,3,4,2,4,4,3,2,3,3,3,3,3,4,2,3,4,2,2,3,4,3,4,3,4,3,2,3,2,1
55,"Male","Yes","phd","PhD","Full-Time",87500,"0","*MISSING*","6",0,"Large-City","*Missing*","Separated",3,0,"Yes","Yes","*Missing*",1.6,2.4,3.15,3.8,3,1,2,2,1,1,2,4,3,3,1,3,4,4,4,1,1,2,2,4,4,1,1,5,4,2,4,2,4,2,4,5,1,2,5,4,3,2,4,5,3,5,3,3,3
55,"Female","Yes","deg","Degree","Unemployed",NA,"0","*MISSING*","0",0,"*Missing*","*Missing*","Divorced",NA,0,"Yes","Yes","*Missing*",2.8,2.8,2.85,3.8,4,3,4,3,3,1,1,4,4,4,3,3,4,3,4,1,2,3,2,2,4,2,2,2,3,1,3,4,4,3,3,4,2,2,4,3,3,4,2,4,3,4,4,4,2
23,"Female","No","deg","Degree","Student",NA,"0","*MISSING*",NA,0,"Medium-Sized","*Missing*","Single",0,0,"Yes","Yes","*Missing*",2.4,1.73,3.25,3.6,3,2,5,2,1,1,1,1,2,1,2,1,2,1,2,5,2,3,1,3,2,2,2,5,5,1,3,5,5,1,3,3,1,3,4,4,3,5,5,4,2,4,4,4,2
20,"Female","No","ltuni","Left University","Student",NA,"0","*MISSING*","0",0,"*Missing*","*Missing*","*Missing*",0,0,"Yes","Yes","*Missing*",2,2.67,3.2,3.8,3,3,3,1,1,1,3,2,4,1,4,3,3,1,3,4,4,2,4,1,4,1,2,4,2,2,3,5,5,3,4,4,3,3,4,4,3,4,3,3,4,3,4,5,5
28,"Female","No","ma","Masters","Student",35000,"please specify","*MISSING*","5",8,"*Missing*","*Missing*","Single",0,0,"Yes","Yes","*Missing*",3.2,2.2,3.2,2.8,4,4,4,4,4,1,1,1,1,4,2,3,3,4,5,1,1,1,1,3,4,4,2,4,4,3,4,3,5,1,2,5,1,2,4,2,1,5,5,5,1,3,2,3,1
55,"Female","No","ma","Masters","Student",15000,"Doctoral Candidate!!!  no wonder i'm doi","DOCTORAL CANDIDATE!!!  NO WONDER I'M DOI","5",0,"Medium-Sized","*Missing*","*Missing*",0,0,"Yes","Yes","*Missing*",3.6,1.93,2.75,4.6,5,5,5,3,3,1,1,2,1,3,1,3,3,1,4,2,1,2,1,3,4,1,1,2,1,2,3,4,4,2,4,5,2,2,3,2,1,5,4,5,5,5,4,4,2
45,"Female","No","dip","Diploma","Unemployed",NA,"photo profucer","PHOTOGRAPHER","12",0,"Medium-Sized","*Missing*","Single",0,0,"Yes","No","*Missing*",2.4,3.27,3.35,3,3,3,3,3,3,3,3,4,3,4,3,3,3,2,4,3,4,3,4,3,3,2,3,4,4,3,4,3,3,4,3,4,4,4,3,4,3,3,3,2,3,3,3,4,4
28,"Male","No","deg","Degree","Student",NA,"0","*MISSING*","0",0,"*Missing*","*Missing*","*Missing*",0,0,"Yes","No","*Missing*",3.8,2.93,3.9,2.8,5,5,5,4,4,5,1,5,1,3,4,1,3,2,3,5,1,5,1,1,5,4,2,5,4,3,5,5,5,1,2,5,5,5,4,4,4,4,5,4,2,2,3,3,3
32.5,"Male","No","ma","Masters","Full-Time",150000,"0","*MISSING*","0",0,"*Missing*","*Missing*","*Missing*",0,0,"Yes","No","*Missing*",3,2.67,3.55,3.8,4,5,4,2,2,2,2,4,3,2,2,2,4,3,2,4,2,4,2,2,3,4,4,3,4,2,4,4,2,5,4,4,2,4,4,5,4,4,3,4,3,4,4,4,2
37.5,"Male","Yes","phd","PhD","Full-Time",250000,"Teacher assistant","TEACHER ASSISTANT","9",0,"Large-City","*Missing*","Married",0,1,"No","No","*Missing*",2.6,1.73,1.5,4,3,3,5,1,5,1,1,1,2,1,1,2,1,1,2,1,3,2,2,2,2,1,1,1,1,1,2,1,1,1,5,2,1,1,2,2,1,1,1,1,5,4,5,5,3
32.5,"Female","No","deg","Degree","Student",NA,"0","*MISSING*","0",0,"*Missing*","*Missing*","Married",0,0,"Yes","Yes","*Missing*",2.8,3.47,3.8,3.2,3,3,5,3,3,3,3,3,4,3,1,3,4,3,4,5,4,5,4,4,4,3,4,5,3,4,3,4,4,4,4,4,3,4,4,4,3,4,4,4,3,3,3,3,2
28,"Female","No","ma","Masters","Full-Time",NA,"0","*MISSING*","0",0,"*Missing*","*Missing*","Married",0,0,"Yes","No","*Missing*",2.2,2.07,2.6,3.4,3,2,4,2,2,2,2,5,2,2,2,2,2,1,2,2,1,2,2,3,3,2,2,3,1,2,3,3,4,1,2,3,4,2,3,3,2,3,3,2,4,4,3,4,4
32.5,"Female","No","ma","Masters","Unemployed",NA,"0","*MISSING*","0",0,"Large-City","*Missing*","Married",0,0,"Yes","Yes","*Missing*",2.2,2.2,2.45,3,3,3,3,2,4,1,2,3,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,3,2,3,3,3,1,4,2,2,3,3,3,2,2,3,2,3,4,3,3,3
45,"Female","Yes","phd","PhD","Unemployed",250000,"Doctor; Physician","PHYSICIAN","14",0,"Small City","*Missing*","Widowed",NA,0,"Yes","Yes","*Missing*",3.4,3.93,4.15,4,5,3,5,4,4,2,5,2,5,5,1,5,5,4,5,1,5,5,5,5,5,5,4,1,5,2,5,5,5,3,5,5,3,4,5,5,3,4,4,2,5,4,4,5,2
20,"Female","No","ltuni","Left University","Student",NA,"0","*MISSING*","0",0,"Large-City","*Missing*","Single",0,0,"Yes","Yes","*Missing*",3.4,3.27,3.55,3.2,5,4,4,4,4,1,3,3,5,4,2,4,3,4,5,1,2,5,3,1,4,1,2,5,5,3,4,4,5,5,4,5,1,3,3,3,4,4,5,4,3,3,3,3,4
24,"Female","No","phd","PhD","*Missing*",NA,"0","*MISSING*","0",0,"*Missing*","*Missing*","*Missing*",0,0,"Yes","Yes","*Missing*",3.2,2.4,3,4,5,3,5,3,3,1,2,1,5,2,1,2,3,2,4,3,2,3,2,2,3,1,2,5,4,2,3,4,4,3,3,5,1,3,3,3,3,4,2,4,4,4,4,4,4
22,"Male","No","ma","Masters","Student",NA,"0","*MISSING*","7",0,"*Missing*","*Missing*","*Missing*",0,0,"Yes","Yes","*Missing*",2.8,3.73,3.45,2.8,5,4,3,2,2,4,3,5,4,3,5,4,4,2,5,4,4,3,4,4,4,1,2,5,4,1,4,3,4,1,2,4,4,4,4,5,4,4,5,4,2,3,3,2,1
45,"Female","No","phd","PhD","Unemployed",10000,"0","*MISSING*","0",0,"*Missing*","*Missing*","*Missing*",0,0,"No","No","*Missing*",1.8,2.27,2.65,2.2,3,2,2,2,2,2,1,2,3,3,2,2,2,2,3,3,2,3,2,2,2,2,2,4,4,2,3,3,3,2,3,3,3,3,3,2,2,2,3,3,2,2,2,2,2
32.5,"Female","No","ma","Masters","Student",10000,"please specify","*MISSING*","7",8,"Medium-Sized","*Missing*","Single",0,0,"Yes","Yes","*Missing*",3.2,3,3.35,2.6,4,4,4,4,4,1,2,2,3,4,3,4,4,4,4,3,2,3,2,3,4,1,3,2,4,3,4,4,5,4,3,4,2,3,4,3,3,4,4,4,2,3,2,2,2
28,"Female","No","deg","Degree","*Missing*",NA,"0","*MISSING*","0",0,"*Missing*","*Missing*","*Missing*",0,0,"Yes","Yes","*Missing*",4,4.33,4.65,1.8,5,5,5,5,5,1,3,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,1,5,5,5,5,5,5,5,1,1,1,1,1
37.5,"Female","No","deg","Degree","Full-Time",NA,"0","*MISSING*","0",0,"*Missing*","*Missing*","*Missing*",0,0,"Yes","Yes","*Missing*",2.8,3.2,3.45,2.8,3,4,4,3,3,4,3,4,3,3,2,3,3,2,3,4,4,4,3,3,3,3,4,5,4,3,3,4,3,2,4,3,4,3,3,4,4,3,4,4,2,3,3,2,2
